,ID,PUNTUACION_ACCESIBILIDAD,PUNTUACION_CALIDAD,COMENTARIOS,AreaRecreativaID,FECHA
97,98,3,4,MUY BUENO,17996,01-07-2022
98,99,4,4,EXCELENTE,17418,12-09-2022
99,100,3,4,MUY BUENO,17447,14-01-2021
100,101,3,2,ACEPTABLE,5653899,10-05-2022
101,102,3,3,MUY BUENO,4749894,08-06-2021
102,103,2,3,ACEPTABLE,17848,18-11-2023
103,104,1,1,DEFICIENTE,52192,29-09-2022
104,105,4,3,MUY BUENO,17378,24-05-2023
105,106,5,4,EXCELENTE,7180264,12-12-2023
106,107,1,1,DEFICIENTE,18232,27-07-2022
107,108,2,3,ACEPTABLE,16741,04-08-2021
108,109,2,3,ACEPTABLE,18569,24-11-2023
109,110,2,3,ACEPTABLE,17851,25-05-2021
110,111,3,3,MUY BUENO,52095,17-04-2021
111,112,1,1,DEFICIENTE,16696,17-05-2022
112,113,1,2,REGULAR,17813,16-08-2021
113,114,5,5,EXCELENTE,17933,13-07-2022
114,115,4,3,MUY BUENO,17375,06-04-2023
115,116,4,5,EXCELENTE,52214,27-05-2022
116,117,5,5,EXCELENTE,17755,25-12-2021
117,118,5,5,EXCELENTE,18331,08-01-2022
118,119,2,3,ACEPTABLE,17560,22-05-2022
119,120,2,2,ACEPTABLE,16966,10-08-2021
120,121,4,3,MUY BUENO,17007,30-03-2023
121,122,2,1,REGULAR,3569210,16-11-2023
122,123,4,5,EXCELENTE,7021749,04-09-2023
123,124,4,3,MUY BUENO,3568708,13-04-2021
124,125,4,5,EXCELENTE,4988273,05-05-2021
125,126,3,2,ACEPTABLE,7886327,21-11-2022
126,127,1,2,REGULAR,18497,02-02-2022
127,128,4,5,EXCELENTE,17760,21-08-2022
128,129,1,1,DEFICIENTE,17613,10-03-2022
129,130,5,4,EXCELENTE,18212,31-12-2023
130,131,4,4,EXCELENTE,17983,23-01-2023
131,132,1,1,DEFICIENTE,7165658,24-09-2021
132,133,1,1,DEFICIENTE,5219935,03-11-2022
133,134,2,1,REGULAR,52078,27-10-2023
134,135,4,3,MUY BUENO,17390,16-04-2021
135,136,3,2,ACEPTABLE,17476,31-12-2021
136,137,2,3,ACEPTABLE,5237130,25-03-2022
137,138,3,4,MUY BUENO,5071591,28-11-2021
138,139,4,5,EXCELENTE,17290,16-08-2022
139,140,4,3,MUY BUENO,52229,11-03-2023
140,141,2,3,ACEPTABLE,5653899,24-05-2022
141,142,3,4,MUY BUENO,9049652,13-02-2023
142,143,4,3,MUY BUENO,18391,05-12-2023
143,144,5,5,EXCELENTE,16967,20-12-2022
144,145,5,4,EXCELENTE,18479,28-09-2021
145,146,1,2,REGULAR,16915,04-12-2022
146,147,2,1,REGULAR,17830,01-10-2021
147,148,5,5,EXCELENTE,17961,01-02-2023
148,149,1,1,DEFICIENTE,16897,18-09-2022
149,150,4,3,MUY BUENO,7129053,01-08-2022
150,151,3,3,MUY BUENO,18268,29-04-2023
151,152,5,5,EXCELENTE,52223,29-04-2023
152,153,5,5,EXCELENTE,17735,06-11-2023
153,154,1,1,DEFICIENTE,18466,26-08-2022
154,155,1,1,DEFICIENTE,7928004,16-05-2022
155,156,2,3,ACEPTABLE,17465,06-01-2021
156,157,3,2,ACEPTABLE,7356654,29-06-2021
157,158,2,1,REGULAR,5158861,10-01-2021
158,159,1,2,REGULAR,7182466,12-10-2021
159,160,4,4,EXCELENTE,17060,25-05-2021
160,161,5,5,EXCELENTE,17009,19-11-2022
161,162,1,2,REGULAR,16671,20-08-2022
162,163,2,1,REGULAR,17016,03-06-2023
163,164,1,1,DEFICIENTE,17278,05-04-2023
164,165,1,1,DEFICIENTE,3531279,16-10-2021
165,166,4,4,EXCELENTE,7356654,11-05-2022
166,167,2,1,REGULAR,461342,01-07-2021
167,168,2,1,REGULAR,18545,30-07-2021
168,169,5,4,EXCELENTE,7356671,16-01-2023
169,170,3,2,ACEPTABLE,5240107,22-10-2021
170,171,1,2,REGULAR,16743,22-06-2023
171,172,2,2,ACEPTABLE,16892,06-02-2022
172,173,3,4,MUY BUENO,18416,21-06-2022
173,174,5,5,EXCELENTE,17530,08-08-2023
174,175,3,3,MUY BUENO,4986142,04-02-2022
175,176,4,3,MUY BUENO,8799540,08-09-2022
176,177,4,5,EXCELENTE,52219,09-08-2022
177,178,5,4,EXCELENTE,7126585,21-12-2022
178,179,2,1,REGULAR,17039,06-03-2021
179,180,5,5,EXCELENTE,17847,18-12-2022
180,181,5,5,EXCELENTE,5219920,13-05-2021
181,182,2,2,ACEPTABLE,18325,12-07-2021
182,183,4,4,EXCELENTE,17432,20-11-2023
183,184,2,2,ACEPTABLE,18520,22-11-2022
184,185,1,1,DEFICIENTE,5240286,15-06-2023
185,186,1,1,DEFICIENTE,17199,23-05-2021
186,187,3,3,MUY BUENO,18060,13-04-2023
187,188,4,3,MUY BUENO,18055,28-10-2023
188,189,4,4,EXCELENTE,17225,30-09-2021
189,190,1,1,DEFICIENTE,17037,03-01-2021
190,191,3,2,ACEPTABLE,5237123,21-01-2022
191,192,4,4,EXCELENTE,17855,21-12-2023
192,193,3,4,MUY BUENO,7247843,15-02-2021
193,194,4,5,EXCELENTE,16700,21-05-2022
194,195,1,2,REGULAR,52223,15-02-2021
195,196,3,2,ACEPTABLE,17511,19-12-2022
196,197,2,3,ACEPTABLE,18004,02-01-2022
197,198,3,2,ACEPTABLE,5056315,07-05-2023
198,199,2,3,ACEPTABLE,17694,04-07-2021
199,200,5,5,EXCELENTE,17150,21-08-2022
200,201,3,3,MUY BUENO,52135,27-12-2021
201,202,2,2,ACEPTABLE,52045,19-07-2021
202,203,1,1,DEFICIENTE,18164,09-02-2021
203,204,1,1,DEFICIENTE,18165,28-07-2023
204,205,2,1,REGULAR,18152,10-02-2021
205,206,1,2,REGULAR,17145,01-02-2021
206,207,3,3,MUY BUENO,8914013,29-01-2022
207,208,1,1,DEFICIENTE,17482,14-05-2023
208,209,3,3,MUY BUENO,52175,10-05-2022
209,210,2,2,ACEPTABLE,17052,07-07-2022
210,211,5,5,EXCELENTE,18377,28-05-2023
211,212,3,3,MUY BUENO,52224,31-10-2022
212,213,2,2,ACEPTABLE,18069,06-02-2023
213,214,3,2,ACEPTABLE,17992,08-02-2022
214,215,1,1,DEFICIENTE,18347,17-07-2021
215,216,1,1,DEFICIENTE,18068,30-12-2021
216,217,1,1,DEFICIENTE,17537,01-12-2023
217,218,2,1,REGULAR,18110,27-08-2023
218,219,1,2,REGULAR,18372,28-11-2023
219,220,2,2,ACEPTABLE,17208,03-09-2022
220,221,3,4,MUY BUENO,461342,11-04-2023
221,222,3,4,MUY BUENO,17515,17-01-2021
222,223,5,5,EXCELENTE,17685,11-08-2022
223,224,1,1,DEFICIENTE,17942,29-05-2023
224,225,3,2,ACEPTABLE,17563,01-04-2021
225,226,4,5,EXCELENTE,7840483,05-10-2022
226,227,1,1,DEFICIENTE,18287,02-05-2022
227,228,1,1,DEFICIENTE,18393,25-03-2023
228,229,3,2,ACEPTABLE,16872,03-08-2021
229,230,3,4,MUY BUENO,451348,27-01-2022
230,231,3,4,MUY BUENO,18494,19-09-2022
231,232,3,4,MUY BUENO,7591554,18-10-2023
232,233,5,5,EXCELENTE,3573055,04-02-2021
233,234,5,5,EXCELENTE,18434,11-02-2022
234,235,5,4,EXCELENTE,18067,30-04-2022
235,236,4,4,EXCELENTE,18317,10-11-2023
236,237,4,4,EXCELENTE,5246186,29-07-2022
237,238,1,2,REGULAR,7125671,28-01-2023
238,239,1,1,DEFICIENTE,17433,01-09-2022
239,240,5,4,EXCELENTE,5653967,05-12-2023
240,241,5,4,EXCELENTE,3573055,05-09-2022
241,242,3,2,ACEPTABLE,17319,11-10-2023
242,243,2,3,ACEPTABLE,5195568,26-09-2021
243,244,4,5,EXCELENTE,17154,07-07-2023
244,245,3,2,ACEPTABLE,17885,15-12-2021
245,246,5,5,EXCELENTE,18505,03-12-2021
246,247,2,3,ACEPTABLE,18327,28-11-2023
247,248,5,4,EXCELENTE,7130028,21-05-2023
248,249,2,3,ACEPTABLE,18063,12-01-2023
249,250,1,1,DEFICIENTE,17148,04-06-2021
250,251,3,4,MUY BUENO,17256,06-08-2021
251,252,1,1,DEFICIENTE,7126156,20-11-2022
252,253,1,1,DEFICIENTE,7764194,05-03-2022
253,254,4,5,EXCELENTE,17326,14-03-2021
254,255,1,1,DEFICIENTE,18636,08-11-2021
255,256,1,2,REGULAR,7107695,09-01-2021
256,257,3,3,MUY BUENO,17761,09-10-2021
257,258,5,5,EXCELENTE,461342,13-09-2022
258,259,2,1,REGULAR,18292,20-10-2023
259,260,3,3,MUY BUENO,461181,31-07-2021
260,261,2,2,ACEPTABLE,17562,25-06-2023
261,262,1,2,REGULAR,17527,06-02-2022
262,263,3,3,MUY BUENO,52200,15-09-2022
263,264,2,2,ACEPTABLE,17604,02-09-2023
264,265,4,3,MUY BUENO,18413,17-05-2023
265,266,2,1,REGULAR,16725,01-07-2022
266,267,4,5,EXCELENTE,18268,04-04-2021
267,268,2,2,ACEPTABLE,17977,27-12-2022
268,269,1,2,REGULAR,17649,30-07-2021
269,270,5,5,EXCELENTE,6819611,22-02-2021
270,271,3,4,MUY BUENO,52189,30-04-2023
271,272,2,1,REGULAR,17092,04-11-2023
272,273,1,2,REGULAR,17929,21-03-2021
273,274,5,4,EXCELENTE,3566363,16-01-2022
274,275,3,4,MUY BUENO,5653896,04-09-2022
275,276,1,1,DEFICIENTE,18487,19-12-2021
276,277,4,5,EXCELENTE,17899,09-08-2021
277,278,1,1,DEFICIENTE,17746,23-09-2023
278,279,3,4,MUY BUENO,17424,10-07-2022
279,280,4,5,EXCELENTE,17996,14-10-2023
280,281,3,4,MUY BUENO,7107055,06-07-2022
281,282,1,1,DEFICIENTE,18297,02-06-2022
282,283,5,5,EXCELENTE,17505,05-11-2023
283,284,3,3,MUY BUENO,461342,24-12-2022
284,285,4,3,MUY BUENO,5158861,27-02-2022
285,286,1,2,REGULAR,5213823,31-03-2021
286,287,4,4,EXCELENTE,3568169,27-10-2021
287,288,3,4,MUY BUENO,17046,18-02-2021
288,289,5,5,EXCELENTE,7537965,13-01-2021
289,290,1,1,DEFICIENTE,17646,17-09-2021
290,291,4,5,EXCELENTE,5237139,13-04-2023
291,292,4,3,MUY BUENO,52102,30-07-2021
292,293,5,5,EXCELENTE,17980,16-09-2022
293,294,3,4,MUY BUENO,17760,16-11-2022
294,295,1,1,DEFICIENTE,17593,03-09-2023
295,296,5,5,EXCELENTE,18005,03-12-2021
296,297,5,5,EXCELENTE,16785,23-07-2021
297,298,2,1,REGULAR,17578,08-10-2023
298,299,5,4,EXCELENTE,17949,23-12-2022
299,300,4,5,EXCELENTE,17395,27-07-2021
300,301,1,1,DEFICIENTE,17549,14-01-2022
301,302,1,2,REGULAR,16776,22-09-2022
302,303,3,2,ACEPTABLE,16743,11-11-2022
303,304,1,2,REGULAR,52060,10-07-2023
304,305,5,5,EXCELENTE,17975,01-04-2022
305,306,2,1,REGULAR,18054,25-08-2022
306,307,4,4,EXCELENTE,17276,17-02-2022
307,308,1,1,DEFICIENTE,7928425,27-11-2022
308,309,2,3,ACEPTABLE,17562,15-03-2021
309,310,4,3,MUY BUENO,17555,17-09-2023
310,311,3,3,MUY BUENO,8799606,21-04-2021
311,312,2,3,ACEPTABLE,18140,04-09-2021
312,313,2,3,ACEPTABLE,17342,05-02-2022
313,314,4,5,EXCELENTE,17426,07-08-2022
314,315,4,5,EXCELENTE,18508,25-10-2021
315,316,5,5,EXCELENTE,17278,24-06-2023
316,317,5,4,EXCELENTE,16959,06-12-2021
317,318,4,5,EXCELENTE,17207,09-02-2023
318,319,5,5,EXCELENTE,5653967,11-10-2022
319,320,4,5,EXCELENTE,17897,05-02-2023
320,321,4,4,EXCELENTE,5241187,07-09-2023
321,322,3,2,ACEPTABLE,18467,19-01-2021
322,323,4,5,EXCELENTE,17664,19-08-2021
323,324,1,2,REGULAR,52141,18-10-2022
324,325,3,3,MUY BUENO,18604,21-07-2021
325,326,4,3,MUY BUENO,3573331,08-04-2022
326,327,5,4,EXCELENTE,52177,08-11-2023
327,328,3,4,MUY BUENO,18485,22-06-2023
328,329,2,2,ACEPTABLE,8218587,24-03-2023
329,330,2,1,REGULAR,5075332,12-01-2022
330,331,1,1,DEFICIENTE,5237113,10-10-2022
331,332,5,5,EXCELENTE,18279,11-04-2023
332,333,1,1,DEFICIENTE,17194,05-09-2023
333,334,4,3,MUY BUENO,17383,15-02-2022
334,335,5,5,EXCELENTE,16686,20-07-2021
335,336,4,4,EXCELENTE,17945,29-01-2023
336,337,1,1,DEFICIENTE,52184,07-11-2023
337,338,1,1,DEFICIENTE,5246197,20-04-2023
338,339,4,5,EXCELENTE,17136,24-08-2021
339,340,3,3,MUY BUENO,17990,14-06-2022
340,341,4,4,EXCELENTE,18363,17-03-2022
341,342,1,1,DEFICIENTE,7126156,28-10-2021
342,343,4,5,EXCELENTE,8799607,26-01-2022
343,344,2,1,REGULAR,16887,02-12-2023
344,345,2,3,ACEPTABLE,17745,27-05-2022
345,346,5,4,EXCELENTE,9187543,10-11-2022
346,347,3,4,MUY BUENO,7107693,04-09-2021
347,348,1,1,DEFICIENTE,17027,26-06-2023
348,349,3,2,ACEPTABLE,7107693,07-06-2022
349,350,5,5,EXCELENTE,6819625,21-02-2022
350,351,5,4,EXCELENTE,17939,24-05-2023
351,352,5,4,EXCELENTE,17324,22-03-2023
352,353,2,3,ACEPTABLE,17814,16-03-2023
353,354,3,4,MUY BUENO,17612,04-06-2021
354,355,4,4,EXCELENTE,17242,05-10-2021
355,356,3,4,MUY BUENO,7168554,27-05-2022
356,357,2,2,ACEPTABLE,5653909,26-08-2023
357,358,4,5,EXCELENTE,7591618,30-12-2022
358,359,1,1,DEFICIENTE,4737941,02-02-2021
359,360,3,4,MUY BUENO,17445,09-11-2023
360,361,1,1,DEFICIENTE,8799553,28-03-2022
361,362,1,1,DEFICIENTE,17965,28-09-2021
362,363,4,3,MUY BUENO,7403983,25-01-2023
363,364,1,2,REGULAR,8799606,14-07-2023
364,365,4,3,MUY BUENO,17206,17-12-2023
365,366,5,5,EXCELENTE,18506,10-07-2021
366,367,1,2,REGULAR,16822,08-07-2022
367,368,2,1,REGULAR,18068,21-01-2023
368,369,4,3,MUY BUENO,18135,11-01-2023
369,370,1,1,DEFICIENTE,3573052,03-04-2021
370,371,1,1,DEFICIENTE,5799343,19-11-2022
371,372,2,2,ACEPTABLE,17065,26-05-2021
372,373,3,4,MUY BUENO,7125619,21-03-2023
373,374,3,3,MUY BUENO,7248182,23-10-2021
374,375,3,2,ACEPTABLE,5653965,03-11-2021
375,376,5,5,EXCELENTE,17425,15-05-2023
376,377,5,4,EXCELENTE,18066,08-02-2021
377,378,2,1,REGULAR,17593,02-11-2022
378,379,3,2,ACEPTABLE,16770,12-01-2023
379,380,5,5,EXCELENTE,17754,20-08-2022
380,381,1,1,DEFICIENTE,3569222,10-09-2022
381,382,3,3,MUY BUENO,9294001,24-09-2022
382,383,5,5,EXCELENTE,16965,03-04-2021
383,384,1,1,DEFICIENTE,18374,10-10-2023
384,385,1,1,DEFICIENTE,16972,14-07-2023
385,386,2,1,REGULAR,17064,23-06-2023
386,387,5,5,EXCELENTE,17392,08-06-2023
387,388,5,5,EXCELENTE,18447,04-07-2022
388,389,5,4,EXCELENTE,52159,13-07-2022
389,390,1,2,REGULAR,4749887,11-07-2023
390,391,5,5,EXCELENTE,18393,05-10-2023
391,392,1,1,DEFICIENTE,17158,29-06-2021
392,393,4,4,EXCELENTE,18071,11-12-2021
393,394,2,2,ACEPTABLE,8914013,16-07-2023
394,395,1,1,DEFICIENTE,17642,10-12-2023
395,396,1,1,DEFICIENTE,17505,23-08-2022
396,397,5,5,EXCELENTE,16964,12-01-2022
397,398,5,4,EXCELENTE,7889423,18-01-2021
398,399,2,3,ACEPTABLE,18422,30-09-2023
399,400,3,2,ACEPTABLE,18493,15-01-2021
400,401,5,5,EXCELENTE,3740132,13-10-2022
401,402,3,2,ACEPTABLE,18030,04-02-2022
402,403,4,4,EXCELENTE,16973,27-11-2022
403,404,2,1,REGULAR,17869,24-11-2021
404,405,3,3,MUY BUENO,52073,23-10-2022
405,406,2,3,ACEPTABLE,16957,05-09-2022
406,407,2,2,ACEPTABLE,7840483,14-09-2022
407,408,5,5,EXCELENTE,7126156,15-09-2022
408,409,2,3,ACEPTABLE,17251,18-09-2023
409,410,4,3,MUY BUENO,7886698,15-11-2021
410,411,5,5,EXCELENTE,5240105,03-11-2021
411,412,5,5,EXCELENTE,17203,05-11-2021
412,413,2,2,ACEPTABLE,17122,11-08-2022
413,414,4,3,MUY BUENO,7162223,10-11-2022
414,415,5,5,EXCELENTE,52199,22-06-2023
415,416,2,2,ACEPTABLE,17931,07-12-2021
416,417,1,1,DEFICIENTE,16663,16-02-2021
417,418,5,5,EXCELENTE,3991326,12-06-2023
418,419,2,3,ACEPTABLE,52221,02-12-2022
419,420,5,5,EXCELENTE,16708,30-08-2021
420,421,2,3,ACEPTABLE,17787,05-03-2023
421,422,3,4,MUY BUENO,3573049,13-11-2023
422,423,3,3,MUY BUENO,18634,17-11-2021
423,424,1,2,REGULAR,17682,05-03-2022
424,425,4,5,EXCELENTE,17692,26-03-2023
425,426,4,5,EXCELENTE,17308,14-02-2022
426,427,3,2,ACEPTABLE,18357,30-01-2023
427,428,4,3,MUY BUENO,17034,26-04-2021
428,429,2,3,ACEPTABLE,17109,27-02-2022
429,430,2,3,ACEPTABLE,18125,20-09-2022
430,431,3,2,ACEPTABLE,4731667,05-02-2022
431,432,5,5,EXCELENTE,17406,12-02-2022
432,433,4,4,EXCELENTE,17679,18-10-2022
433,434,1,1,DEFICIENTE,17791,12-04-2023
434,435,3,4,MUY BUENO,3568959,15-07-2021
435,436,1,1,DEFICIENTE,17065,21-10-2021
436,437,2,1,REGULAR,18403,01-09-2021
437,438,4,4,EXCELENTE,18124,26-05-2021
438,439,2,2,ACEPTABLE,4988362,16-01-2021
439,440,2,1,REGULAR,17892,18-12-2021
440,441,1,1,DEFICIENTE,18115,16-12-2021
441,442,3,3,MUY BUENO,18578,17-02-2023
442,443,3,4,MUY BUENO,17740,06-02-2021
443,444,5,5,EXCELENTE,7943778,06-02-2021
444,445,3,2,ACEPTABLE,17853,25-12-2021
445,446,1,1,DEFICIENTE,7127772,16-11-2022
446,447,4,3,MUY BUENO,16753,02-01-2021
447,448,1,1,DEFICIENTE,17331,14-03-2023
448,449,2,2,ACEPTABLE,9397076,01-04-2023
449,450,2,1,REGULAR,7862341,11-07-2023
450,451,1,1,DEFICIENTE,18272,11-04-2021
451,452,3,3,MUY BUENO,17302,17-07-2022
452,453,1,1,DEFICIENTE,17605,18-09-2023
453,454,2,2,ACEPTABLE,17353,04-09-2021
454,455,2,1,REGULAR,5240280,15-04-2023
455,456,5,4,EXCELENTE,52155,04-04-2021
456,457,5,5,EXCELENTE,17069,12-04-2021
457,458,4,3,MUY BUENO,17019,01-04-2022
458,459,5,5,EXCELENTE,17504,27-07-2022
459,460,1,1,DEFICIENTE,17341,01-03-2021
460,461,5,5,EXCELENTE,16911,21-06-2022
461,462,1,1,DEFICIENTE,16788,29-10-2023
462,463,2,1,REGULAR,5237137,08-04-2023
463,464,1,1,DEFICIENTE,17651,27-11-2022
464,465,2,1,REGULAR,17625,24-07-2021
465,466,2,2,ACEPTABLE,17517,24-02-2023
466,467,3,2,ACEPTABLE,52204,13-05-2021
467,468,4,5,EXCELENTE,3991019,27-04-2023
468,469,4,3,MUY BUENO,18037,28-12-2021
469,470,3,3,MUY BUENO,18446,01-04-2023
470,471,1,1,DEFICIENTE,8776080,18-06-2023
471,472,2,1,REGULAR,52175,05-06-2023
472,473,1,1,DEFICIENTE,17690,14-06-2022
473,474,5,5,EXCELENTE,17938,24-04-2023
474,475,5,5,EXCELENTE,7356654,12-12-2021
475,476,4,4,EXCELENTE,16693,24-08-2022
476,477,1,1,DEFICIENTE,7928031,04-12-2022
477,478,5,5,EXCELENTE,18558,26-10-2023
478,479,5,4,EXCELENTE,17659,05-10-2023
479,480,3,3,MUY BUENO,16886,08-11-2023
480,481,4,4,EXCELENTE,7928425,19-03-2022
481,482,4,4,EXCELENTE,17931,25-01-2021
482,483,5,5,EXCELENTE,18431,25-12-2022
483,484,2,1,REGULAR,17249,26-07-2022
484,485,3,4,MUY BUENO,18063,14-11-2022
485,486,3,2,ACEPTABLE,18408,07-05-2022
486,487,2,3,ACEPTABLE,16759,08-01-2023
487,488,5,5,EXCELENTE,7403983,31-01-2022
488,489,1,2,REGULAR,17015,03-12-2022
489,490,5,5,EXCELENTE,17513,04-03-2023
490,491,2,3,ACEPTABLE,17904,05-05-2022
491,492,5,4,EXCELENTE,7764194,19-06-2022
492,493,2,3,ACEPTABLE,6819618,11-07-2021
493,494,1,2,REGULAR,18273,27-02-2022
494,495,4,5,EXCELENTE,16960,09-12-2022
495,496,5,4,EXCELENTE,17252,26-07-2023
496,497,1,1,DEFICIENTE,4794560,18-01-2021
497,498,5,5,EXCELENTE,17501,21-07-2023
498,499,3,4,MUY BUENO,18457,19-07-2021
499,500,1,1,DEFICIENTE,18167,18-10-2021
500,501,4,5,EXCELENTE,17054,07-09-2023
501,502,4,5,EXCELENTE,6905562,19-06-2021
502,503,3,2,ACEPTABLE,18389,24-09-2022
503,504,3,2,ACEPTABLE,16942,07-06-2021
504,505,3,3,MUY BUENO,18344,06-07-2022
505,506,4,3,MUY BUENO,18022,27-08-2021
506,507,1,1,DEFICIENTE,18591,30-06-2022
507,508,2,3,ACEPTABLE,7902706,21-07-2021
508,509,5,5,EXCELENTE,17421,25-07-2021
509,510,1,1,DEFICIENTE,17537,24-04-2022
510,511,3,3,MUY BUENO,17029,05-01-2023
511,512,5,5,EXCELENTE,8907324,03-06-2021
512,513,5,4,EXCELENTE,52054,22-05-2021
513,514,3,4,MUY BUENO,18615,07-05-2021
514,515,4,5,EXCELENTE,7862341,25-05-2022
515,516,5,4,EXCELENTE,17889,12-05-2022
516,517,1,1,DEFICIENTE,3573005,09-02-2023
517,518,4,3,MUY BUENO,18269,12-06-2023
518,519,5,5,EXCELENTE,4988362,01-10-2022
519,520,5,4,EXCELENTE,52131,02-08-2023
520,521,1,2,REGULAR,17814,19-02-2023
521,522,3,3,MUY BUENO,17390,09-05-2022
522,523,1,1,DEFICIENTE,17684,26-03-2022
523,524,5,5,EXCELENTE,5237119,31-05-2021
524,525,4,5,EXCELENTE,17366,06-02-2023
525,526,3,3,MUY BUENO,4731210,16-08-2023
