_id,FECHA_INTERVENCION,TIPO_INTERVENCION,ESTADO_PREVIO,ESTADO_POSTERIOR,JuegoID,Tipo,Comentarios
"-58,00 MNT",2024-07-23T00:00:00Z,EMERGENCIA,REGULAR,MALO,21681,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 58
"-59,00 MNT",2024-01-18T00:00:00Z,PREVENTIVO,MALO,REGULAR,21688,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 59
"-60,00 MNT",2024-08-01T00:00:00Z,CORRECTIVO,MALO,REGULAR,9389678,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 60
"-61,00 MNT",2024-03-08T00:00:00Z,PREVENTIVO,BUENO,MALO,9129831,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 61
"-62,00 MNT",2024-03-11T00:00:00Z,PREVENTIVO,BUENO,MALO,25588,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 62
"-63,00 MNT",2024-04-04T00:00:00Z,PREVENTIVO,BUENO,BUENO,59771,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 63
"-64,00 MNT",2023-10-20T00:00:00Z,CORRECTIVO,REGULAR,BUENO,25029,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 64
"-65,00 MNT",2024-05-15T00:00:00Z,CORRECTIVO,MALO,MALO,3580731,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 65
"-66,00 MNT",2024-07-27T00:00:00Z,PREVENTIVO,REGULAR,MALO,4750002,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 66
"-67,00 MNT",2024-02-27T00:00:00Z,PREVENTIVO,MALO,BUENO,21092,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 67
"-68,00 MNT",2024-01-08T00:00:00Z,EMERGENCIA,BUENO,MALO,7872672,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 68
"-69,00 MNT",2023-11-16T00:00:00Z,EMERGENCIA,BUENO,MALO,21339,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 69
"-70,00 MNT",2024-09-28T00:00:00Z,PREVENTIVO,REGULAR,BUENO,3573457,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 70
"-71,00 MNT",2024-03-25T00:00:00Z,PREVENTIVO,MALO,MALO,59163,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 71
"-72,00 MNT",2023-10-28T00:00:00Z,EMERGENCIA,REGULAR,BUENO,59925,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 72
"-73,00 MNT",2024-03-24T00:00:00Z,CORRECTIVO,REGULAR,BUENO,33727,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 73
"-74,00 MNT",2024-02-07T00:00:00Z,CORRECTIVO,MALO,MALO,9397139,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 74
"-75,00 MNT",2024-05-18T00:00:00Z,CORRECTIVO,MALO,REGULAR,25630,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 75
"-76,00 MNT",2024-06-25T00:00:00Z,EMERGENCIA,REGULAR,REGULAR,52881,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 76
"-77,00 MNT",2024-05-31T00:00:00Z,EMERGENCIA,REGULAR,BUENO,32918,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 77
"-78,00 MNT",2024-03-19T00:00:00Z,PREVENTIVO,BUENO,BUENO,25696,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 78
"-79,00 MNT",2024-04-25T00:00:00Z,CORRECTIVO,BUENO,MALO,32726,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 79
"-80,00 MNT",2024-05-22T00:00:00Z,CORRECTIVO,REGULAR,MALO,9492978,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 80
"-81,00 MNT",2023-10-28T00:00:00Z,PREVENTIVO,MALO,MALO,58942,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 81
"-82,00 MNT",2024-10-04T00:00:00Z,EMERGENCIA,REGULAR,REGULAR,58669,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 82
"-83,00 MNT",2024-09-13T00:00:00Z,EMERGENCIA,BUENO,REGULAR,3568984,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 83
"-84,00 MNT",2024-01-23T00:00:00Z,CORRECTIVO,BUENO,REGULAR,8820187,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 84
"-85,00 MNT",2023-11-08T00:00:00Z,PREVENTIVO,REGULAR,BUENO,58807,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 85
"-86,00 MNT",2024-11-10T00:00:00Z,PREVENTIVO,MALO,MALO,58331,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 86
"-87,00 MNT",2024-09-25T00:00:00Z,PREVENTIVO,REGULAR,BUENO,20243,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 87
"-88,00 MNT",2024-06-14T00:00:00Z,PREVENTIVO,MALO,REGULAR,9177751,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 88
"-89,00 MNT",2024-01-19T00:00:00Z,EMERGENCIA,REGULAR,BUENO,4992011,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 89
"-90,00 MNT",2023-12-13T00:00:00Z,CORRECTIVO,BUENO,REGULAR,4988363,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 90
"-91,00 MNT",2023-10-21T00:00:00Z,EMERGENCIA,BUENO,MALO,33142,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 91
"-92,00 MNT",2024-02-04T00:00:00Z,CORRECTIVO,MALO,BUENO,60137,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 92
"-93,00 MNT",2024-06-21T00:00:00Z,EMERGENCIA,REGULAR,BUENO,5025124,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 93
"-94,00 MNT",2024-01-19T00:00:00Z,EMERGENCIA,REGULAR,MALO,59883,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 94
"-95,00 MNT",2024-02-16T00:00:00Z,EMERGENCIA,MALO,BUENO,34743,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 95
"-96,00 MNT",2023-10-28T00:00:00Z,PREVENTIVO,REGULAR,MALO,7895400,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 96
"-97,00 MNT",2024-10-07T00:00:00Z,EMERGENCIA,MALO,BUENO,8817614,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 97
"-98,00 MNT",2024-05-10T00:00:00Z,EMERGENCIA,REGULAR,MALO,7672874,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 98
"-99,00 MNT",2024-04-03T00:00:00Z,CORRECTIVO,REGULAR,REGULAR,7588210,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 99
"-100,00 MNT",2024-01-26T00:00:00Z,CORRECTIVO,BUENO,REGULAR,60020,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 100
"-101,00 MNT",2024-06-23T00:00:00Z,EMERGENCIA,REGULAR,BUENO,5174671,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 101
"-102,00 MNT",2024-03-08T00:00:00Z,EMERGENCIA,REGULAR,REGULAR,58499,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 102
"-103,00 MNT",2024-09-27T00:00:00Z,PREVENTIVO,MALO,MALO,35152,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 103
"-104,00 MNT",2024-06-17T00:00:00Z,CORRECTIVO,MALO,REGULAR,59016,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 104
"-105,00 MNT",2024-04-07T00:00:00Z,EMERGENCIA,REGULAR,MALO,3568696,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 105
"-106,00 MNT",2023-12-23T00:00:00Z,CORRECTIVO,REGULAR,MALO,21125,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 106
"-107,00 MNT",2024-06-03T00:00:00Z,CORRECTIVO,REGULAR,BUENO,5241059,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 107
"-108,00 MNT",2024-08-07T00:00:00Z,EMERGENCIA,REGULAR,REGULAR,8941054,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 108
"-109,00 MNT",2023-12-12T00:00:00Z,PREVENTIVO,BUENO,BUENO,5658100,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 109
"-110,00 MNT",2024-01-25T00:00:00Z,EMERGENCIA,MALO,BUENO,5657902,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 110
"-111,00 MNT",2024-05-30T00:00:00Z,CORRECTIVO,REGULAR,REGULAR,25074,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 111
"-112,00 MNT",2024-07-07T00:00:00Z,CORRECTIVO,MALO,BUENO,59359,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 112
"-113,00 MNT",2024-02-03T00:00:00Z,EMERGENCIA,MALO,BUENO,20749,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 113
"-114,00 MNT",2024-02-11T00:00:00Z,PREVENTIVO,MALO,BUENO,6878958,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 114
"-115,00 MNT",2024-09-10T00:00:00Z,CORRECTIVO,MALO,REGULAR,58490,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 115
"-116,00 MNT",2024-04-04T00:00:00Z,EMERGENCIA,MALO,BUENO,7934559,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 116
"-117,00 MNT",2023-12-16T00:00:00Z,EMERGENCIA,BUENO,BUENO,6761239,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 117
"-118,00 MNT",2024-07-18T00:00:00Z,PREVENTIVO,MALO,REGULAR,6778176,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 118
"-119,00 MNT",2023-11-09T00:00:00Z,PREVENTIVO,REGULAR,MALO,9048980,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 119
"-120,00 MNT",2024-10-10T00:00:00Z,EMERGENCIA,REGULAR,REGULAR,6878761,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 120
"-121,00 MNT",2024-01-21T00:00:00Z,PREVENTIVO,MALO,REGULAR,19718,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 121
"-122,00 MNT",2024-03-31T00:00:00Z,PREVENTIVO,MALO,BUENO,4988105,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 122
"-123,00 MNT",2024-01-30T00:00:00Z,CORRECTIVO,REGULAR,MALO,21087,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 123
"-124,00 MNT",2023-10-18T00:00:00Z,CORRECTIVO,REGULAR,MALO,21536,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 124
"-125,00 MNT",2024-09-24T00:00:00Z,EMERGENCIA,REGULAR,REGULAR,20046,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 125
"-126,00 MNT",2023-11-15T00:00:00Z,CORRECTIVO,BUENO,REGULAR,21007,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 126
"-127,00 MNT",2023-12-06T00:00:00Z,CORRECTIVO,MALO,REGULAR,19426,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 127
"-128,00 MNT",2024-02-11T00:00:00Z,PREVENTIVO,BUENO,MALO,20187,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 128
"-129,00 MNT",2024-09-06T00:00:00Z,PREVENTIVO,MALO,BUENO,7927325,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 129
"-130,00 MNT",2024-07-18T00:00:00Z,PREVENTIVO,MALO,MALO,22445,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 130
"-131,00 MNT",2024-08-28T00:00:00Z,EMERGENCIA,REGULAR,REGULAR,33208,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 131
"-132,00 MNT",2024-09-10T00:00:00Z,PREVENTIVO,REGULAR,REGULAR,5249944,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 132
"-133,00 MNT",2024-07-22T00:00:00Z,CORRECTIVO,BUENO,REGULAR,20585,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 133
"-134,00 MNT",2024-05-15T00:00:00Z,EMERGENCIA,REGULAR,BUENO,8971301,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 134
"-135,00 MNT",2023-12-17T00:00:00Z,PREVENTIVO,BUENO,BUENO,9177931,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 135
"-136,00 MNT",2024-04-14T00:00:00Z,CORRECTIVO,REGULAR,MALO,5240867,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 136
"-137,00 MNT",2024-01-01T00:00:00Z,PREVENTIVO,REGULAR,BUENO,58294,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 137
"-138,00 MNT",2024-01-08T00:00:00Z,PREVENTIVO,MALO,BUENO,60060,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 138
"-139,00 MNT",2024-06-14T00:00:00Z,PREVENTIVO,MALO,REGULAR,7792012,QUEJA_USUARIO,"COMENTARIO_DESCONOCIDO_-139,00 MNT"
"-140,00 MNT",2024-01-30T00:00:00Z,PREVENTIVO,REGULAR,BUENO,33703,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 140
"-141,00 MNT",2023-11-16T00:00:00Z,CORRECTIVO,BUENO,BUENO,7802478,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 141
"-142,00 MNT",2023-11-02T00:00:00Z,PREVENTIVO,REGULAR,BUENO,24922,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 142
"-143,00 MNT",2024-03-18T00:00:00Z,CORRECTIVO,BUENO,MALO,33593,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 143
"-144,00 MNT",2024-01-29T00:00:00Z,EMERGENCIA,MALO,REGULAR,8987321,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 144
"-145,00 MNT",2024-09-25T00:00:00Z,EMERGENCIA,BUENO,BUENO,9493030,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 145
"-146,00 MNT",2024-02-23T00:00:00Z,PREVENTIVO,MALO,REGULAR,7240162,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 146
"-147,00 MNT",2024-07-22T00:00:00Z,PREVENTIVO,MALO,BUENO,21861,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 147
"-148,00 MNT",2024-02-15T00:00:00Z,EMERGENCIA,REGULAR,REGULAR,4737960,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 148
"-149,00 MNT",2024-08-12T00:00:00Z,PREVENTIVO,REGULAR,REGULAR,5231453,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 149
"-150,00 MNT",2024-09-08T00:00:00Z,PREVENTIVO,REGULAR,REGULAR,24872,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 150
"-151,00 MNT",2024-01-19T00:00:00Z,EMERGENCIA,BUENO,BUENO,33550,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 151
"-152,00 MNT",2024-10-06T00:00:00Z,PREVENTIVO,BUENO,BUENO,58615,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 152
"-153,00 MNT",2023-11-28T00:00:00Z,EMERGENCIA,MALO,MALO,24746,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 153
"-154,00 MNT",2024-02-24T00:00:00Z,PREVENTIVO,REGULAR,REGULAR,9295465,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 154
"-155,00 MNT",2024-01-28T00:00:00Z,CORRECTIVO,MALO,BUENO,9184890,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 155
"-156,00 MNT",2023-11-08T00:00:00Z,PREVENTIVO,MALO,REGULAR,4960333,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 156
"-157,00 MNT",2024-05-08T00:00:00Z,EMERGENCIA,BUENO,MALO,4730882,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 157
"-158,00 MNT",2024-02-07T00:00:00Z,CORRECTIVO,REGULAR,BUENO,58788,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 158
"-159,00 MNT",2024-02-06T00:00:00Z,CORRECTIVO,MALO,REGULAR,18846,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 159
"-160,00 MNT",2024-01-21T00:00:00Z,PREVENTIVO,REGULAR,BUENO,33976,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 160
"-161,00 MNT",2024-03-28T00:00:00Z,PREVENTIVO,MALO,MALO,19533,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 161
"-162,00 MNT",2024-06-22T00:00:00Z,EMERGENCIA,REGULAR,MALO,4987839,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 162
